aphia_id,scientific_name,weight,rank
1,Biota,0.0,Superdomain
2,Animalia,643.0,Kingdom
1065,Arthropoda,316.0,Phylum
1066,Crustacea,336.6,Subphylum
845959,Multicrustacea,604.0,Superclass
1071,Malacostraca,568.0,Class
1086,Eumalacostraca,592.2,Subclass
1090,Peracarida,570.0,Superorder
1137,Cumacea,72.0,Order
110380,Diastylidae,32.0,Family
110398,Diastylis,44.0,Genus
110483,Diastylis lucifera,14,Species
882,Annelida,464.0,Phylum
883,Polychaeta,884.0,Class
754174,Errantia,407.40000000000003,Subclass
892,Phyllodocida,498.0,Order
928,Nereidiformia,161.20000000000002,Suborder
946,Hesionidae,56.0,Family
322552,Psamathinae,32.8,Subfamily
152248,Psamathe,22.0,Genus
152249,Psamathe fusca,14,Species
155086,Polychaeta incertae sedis,25.200000000000003,Subclass
975,Oweniidae,16.0,Family
146949,Galathowenia,11.0,Genus
146950,Galathowenia oculata,14,Species
51,Mollusca,226.0,Phylum
105,Bivalvia,272.0,Class
1424948,Autobranchia,256.2,Subclass
206,Pteriomorphia,64.5,Infraclass
210,Mytilida,48.0,Order
491766,Mytiloidea,64.0,Superfamily
211,Mytilidae,64.0,Family
510725,Musculinae,8.2,Subfamily
138225,Musculus,11.0,Genus
506128,Musculus subpictus,14,Species
101,Gastropoda,156.0,Class
14712,Heterobranchia,84.0,Subclass
1057247,Euthyneura,86.0,Infraclass
1057249,Ringipleura,54.6,Subterclass
411966,Nudipleura,78.0,Superorder
1762,Nudibranchia,78.0,Order
1052385,Doridina,43.4,Suborder
246038,Doridoidei,44.1,Infraorder
246152,Onchidoridoidea,48.0,Superfamily
174,Goniodorididae,16.0,Family
138040,Goniodoris,22.0,Genus
140032,Goniodoris castanea,14,Species
926,Phyllodociformia,99.2,Suborder
931,Phyllodocidae,128.0,Family
152229,Eteoninae,90.19999999999999,Subfamily
129445,Eulalia,33.0,Genus
130623,Eulalia aurea,14,Species
1821,Chordata,38.0,Phylum
146419,Vertebrata,15.400000000000002,Subphylum
1828,Gnathostomata,16.099999999999998,Infraphylum
152352,Osteichthyes,16.8,Parvphylum
10194,Actinopterygii,28.0,Gigaclass
843664,Actinopteri,24.0,Class
293496,Teleostei,25.200000000000003,Subclass
10331,Pleuronectiformes,6.0,Order
125579,Pleuronectidae,8.0,Family
754175,Sedentaria,491.40000000000003,Subclass
154974,Canalipalpata,352.59999999999997,Infraclass
900,Terebellida,252.0,Order
155087,Cirratuliformia,93.0,Suborder
919,Cirratulidae,96.0,Family
129242,Chaetozone,44.0,Genus
152217,Chaetozone christiei,14,Species
1135,Amphipoda,396.0,Order
719424,Senticaudata,186.0,Suborder
719475,Hadziida,44.1,Infraorder
719495,Hadziidira,44.800000000000004,Parvorder
719505,Calliopioidea,32.0,Superfamily
430450,Cheirocratidae,24.0,Family
101669,Cheirocratus,33.0,Genus
1267,Cnidaria,66.0,Phylum
1292,Anthozoa,36.0,Class
1340,Hexacorallia,21.0,Subclass
1360,Actiniaria,24.0,Order
888371,Enthemonae,12.4,Suborder
854224,Metridioidea,16.0,Superfamily
100678,Metridiidae,8.0,Family
100770,Metridium,11.0,Genus
100982,Metridium senile,14,Species
889,Spionida,162.0,Order
909,Spioniformia,167.4,Suborder
913,Spionidae,200.0,Family
129615,Marenzelleria,11.0,Genus
131135,Marenzelleria viridis,14,Species
146142,Bryozoa,96.0,Phylum
1795,Gymnolaemata,164.0,Class
110723,Ctenostomatida,60.0,Order
827141,Vesicularina,12.4,Suborder
827142,Vesicularioidea,16.0,Superfamily
110802,Vesiculariidae,16.0,Family
111022,Amathia,11.0,Genus
111659,Amathia lendigera,14,Species
1337,Hydrozoa,96.0,Class
19494,Hydroidolina,96.60000000000001,Subclass
13552,Leptothecata,120.0,Order
1609,Lafoeidae,16.0,Family
110722,Cheilostomatida,186.0,Order
153575,Flustrina,161.20000000000002,Suborder
153580,Flustroidea,16.0,Superfamily
110749,Flustridae,16.0,Family
110911,Flustra,11.0,Genus
111367,Flustra foliacea,14,Species
22388,Thecostraca,20.0,Class
1082,Cirripedia,21.0,Subclass
1107,Thoracica,21.5,Infraclass
1422167,Thoracicalcarea,30.0,Superorder
106039,Balanomorpha,24.0,Order
1422674,Elminioidea,8.0,Superfamily
1422678,Elminiidae,8.0,Family
534790,Austrominius,11.0,Genus
712167,Austrominius modestus,14,Species
152292,Terebelliformia,167.4,Suborder
981,Ampharetidae,72.0,Family
152252,Ampharetinae,65.6,Subfamily
1448705,Ampharetini,0.0,Tribe
129155,Ampharete,66.0,Genus
129781,Ampharete lindstroemi,14,Species
799,Nematoda,2.0,Phylum
175,Onchidorididae,32.0,Family
138284,Acanthodoris,11.0,Genus
140627,Acanthodoris pilosa,14,Species
719496,Hadzioidea,24.0,Superfamily
475166,Maeridae,16.0,Family
236530,Othomaera,11.0,Genus
534781,Othomaera othonis,14,Species
1055678,Amphilochidea,217.0,Suborder
1055679,Amphilochida,88.2,Infraorder
1055687,Amphilochidira,57.6,Parvorder
1055688,Amphilochoidea,40.0,Superfamily
101365,Amphilochidae,24.0,Family
101454,Paramphilochoides,11.0,Genus
101981,Paramphilochoides intermedius,14,Species
948,Syllidae,120.0,Family
152223,Syllinae,49.199999999999996,Subfamily
129657,Haplosyllis,11.0,Genus
131321,Haplosyllis spongicola,14,Species
901,Sabellida,72.0,Order
985,Sabellidae,64.0,Family
1424949,Heteroconchia,197.79999999999998,Infraclass
382296,Euheterodonta,189.0,Subterclass
869600,Imparidentia,246.0,Superorder
869601,Adapedonta,12.0,Order
14624,Hiatelloidea,8.0,Superfamily
251,Hiatellidae,8.0,Family
138068,Hiatella,11.0,Genus
140103,Hiatella arctica,14,Species
183607,Scolecida,146.2,Infraclass
924,Opheliidae,16.0,Family
313540,Opheliinae,8.2,Subfamily
129413,Ophelia,11.0,Genus
130491,Ophelia borealis,14,Species
902,Orbiniidae,16.0,Family
152294,Orbiniinae,16.4,Subfamily
129420,Orbinia,11.0,Genus
130523,Orbinia sertulata,14,Species
1274,Chelicerata,8.8,Subphylum
1302,Pycnogonida,16.0,Class
1358,Pantopoda,24.0,Order
379601,Eupantopodida,24.8,Suborder
379609,Nymphonoidea,16.0,Superfamily
1566,Nymphonidae,8.0,Family
134591,Nymphon,11.0,Genus
150520,Nymphon brevirostre,14,Species
1806,Echinodermata,50.0,Phylum
148743,Asterozoa,28.6,Subphylum
123080,Asteroidea,4.0,Class
1562575,Ambuloasteroidea,4.2,Subclass
1562576,Neoasteroidea,4.3,Infraclass
582527,Forcipulatacea,6.0,Superorder
123086,Forcipulatida,6.0,Order
123121,Asteriidae,8.0,Family
123219,Asterias,11.0,Genus
123776,Asterias rubens,14,Species
1055690,Lysianassida,132.29999999999998,Infraorder
1055696,Lysianassidira,25.6,Parvorder
176788,Lysianassoidea,32.0,Superfamily
176791,Scopelocheiridae,8.0,Family
852214,Scopelocheirinae,8.2,Subfamily
